iter	RMSE
269	8.474768065
270	8.47011917
271	8.464996677
272	8.458772443
273	8.453369151
274	8.448016779
275	8.442417456
276	8.437518148
277	8.431159099
278	8.426078195
279	8.421021687
280	8.416522441
281	8.411869962
282	8.407087412
283	8.401447048
284	8.396647024
285	8.392434465
286	8.387198206
287	8.382520877
288	8.377834968
289	8.372599283
290	8.367877195
291	8.36294244
292	8.358516989
293	8.3541266
294	8.349539658
295	8.344750221
296	8.34064446
297	8.335776059
298	8.331353807
299	8.327176142
300	8.322820285
301	8.318375743
302	8.313576998
303	8.308990236
304	8.305077889
305	8.300678436
306	8.296565554
307	8.292571224
308	8.288729547
309	8.284888352
310	8.280486097
311	8.276329954
312	8.272423315
313	8.268964188
314	8.265211355
315	8.261366034
316	8.257756959
317	8.25432576
318	8.250880635
319	8.24718702
320	8.242925755
321	8.239350703
322	8.235450428
323	8.231985256
324	8.228435073
325	8.224313421
326	8.220753843
327	8.216846262
328	8.212142306
329	8.208254991
330	8.204960009
331	8.200892101
332	8.197521348
333	8.19366371
334	8.190451758
335	8.187145794
336	8.183730812
337	8.180726206
338	8.177491211
339	8.174300046
340	8.170784081
341	8.166863688
342	8.163715836
343	8.160817208
344	8.157160581
345	8.154061105
346	8.150328214
347	8.146865578
348	8.143283659
349	8.140469504
350	8.137686634
351	8.134564755
352	8.131385952
353	8.128571907
354	8.124547295
355	8.121488087
356	8.118500862
357	8.115794785
358	8.112571263
359	8.109660135
360	8.107107607
361	8.103756459
362	8.099905478
363	8.096950429
364	8.094432886
365	8.091395121
366	8.088656022
367	8.085484293
368	8.08261715
369	8.079391994
2
370	7.524536115
371	7.522049255
659704629
373	7.657053121
374	7.654692188
375	7.651912343
376	7.64898441
377	7.646755031
378	7.643863143
379	7.64106259
380	7.638968353
381	7.636620244
382	7.634277962
383	7.631804751
384	7.629085381
385	7.62711651
386	7.62504877
387	7.62189445
388	7.6196108
389	7.617390465
390	7.615126394
391	7.613279927
392	7.611057745
393	7.608561789
394	7.606537895
395	7.604241826
396	7.601539318
397	7.599475722
398	7.597217007
399	7.595085171
400	7.592988954
401	7.591255249
402	7.589375386
403	7.587405271
404	7.585447004
405	7.583450732
406	7.581634883
407	7.579556798
408	7.577476493
409	7.575570111
410	7.573540701
411	7.571353908
412	7.569282083
413	7.567265028
414	7.565221824
415	7.562550826
416	7.560472869
417	7.558337284
418	7.555551767
419	7.553789198
420	7.551958355
421	7.549674662
422	7.547954607
423	7.545440262
424	7.543720899
425	7.541443827
426	7.539387409
427	7.53795977
428	7.536228334
429	7.534605995
430	7.532713654
431	7.531004249
432	7.528940413
433	7.526543862
434	7.524964701
435	7.523340764
436	7.521375373
437	7.519712844
438	7.517930234
439	7.516353837
440	7.514776693
441	7.513500349
442	7.511346417
443	7.509253042
444	7.507422577
445	7.505985528
446	7.503474195
447	7.501403202
448	7.499850832
449	7.498469427
450	7.496645917
451	7.49499458
452	7.493417945
453	7.491806358
454	7.489341176
455	7.487290481
456	7.485758145
457	7.484407959
458	7.481720223
459	7.480523879
460	7.479039878
461	7.477549732
462	7.475446893
463	7.473752822
464	7.471772715
465	7.470263968
466	7.46885115
467	7.467407934
468	7.465432841
