iter	Passed	Remaining
401	16587	25763
402	16625	25714
403	16671	25674
404	16715	25633
405	16755	25585
406	16799	25543
407	16844	25503
408	16888	25461
409	16924	25407
410	16965	25362
411	17004	25313
412	17046	25268
413	17096	25234
414	17138	25191
415	17179	25145
416	17213	25088
417	17251	25038
418	17292	24992
419	17327	24937
420	17360	24880
421	17401	24835
422	17435	24779
423	17473	24728
424	17511	24679
425	17551	24631
426	17592	24586
427	17630	24536
428	17670	24489
429	17711	24444
430	17751	24397
431	17751	24397
432	17874	24420
433	17928	24393
434	17980	24362
435	18020	24314
436	18058	24264
437	18094	24211
438	18145	24180
439	18200	24152
440	18256	24126
441	18298	24081
442	18341	24037
443	18381	23991
444	18413	23933
445	18446	23877
446	18480	23822
447	18510	23762
448	18556	23723
449	18590	23668
450	18625	23615
451	18664	23567
452	18698	23512
453	18730	23456
454	18764	23402
455	18796	23344
456	18831	23292
457	18859	23231
458	18905	23192
459	18936	23134
460	18968	23079
461	18998	23020
462	19032	22967
463	19064	22911
464	19102	22863
465	19137	22810
466	19171	22758
467	19201	22700
468	19237	22649
